home_team,away_team,result,home_lineup,away_lineup
Blackburn Rovers,Wolverhampton Wanderers,away,Paul Robinson - Míchel Salgado - Martin Olsson - Grant Hanley - Brett Emerton - David Dunn - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Jason Roberts - ,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Jamie O'Hara - Steven Fletcher - Kevin Doyle - 
Fulham,Aston Villa,tie,Mark Schwarzer - John Arne Riise - Philippe Senderos - Brede Hangeland - Aaron Hughes - Danny Murphy - Damien Duff - Dickson Etuhu - Clint Dempsey - Andrew Johnson - Bobby Zamora - ,Shay Given - Luke Young - Stephen Warnock - Richard Dunne - James Collins - Fabian Delph - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Emile Heskey - Darren Bent - 
Liverpool,Sunderland,tie,Pepe Reina - José Enrique - Daniel Agger - Jamie Carragher - Jon Flanagan - Jordan Henderson - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez  - Andy Carroll - ,Simon Mignolet - Phil Bardsley - Wes Brown - Anton Ferdinand - Lee Cattermole - Sebastian Larsson  - Kieran Richardson - Jack Colback - Ahmed El Mohamady - Stéphane Sessegnon - Asamoah Gyan - 
Newcastle United,Arsenal,tie,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Yohan Cabaye - Ryan Taylor - Joey Barton - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Shola Ameobi - ,Wojciech Szczesny - Kieran Gibbs - Bacary Sagna - Thomas Vermaelen - Laurent Koscielny - Tomas Rosicky - Aaron Ramsey - Alexandre Song - Andrey Arshavin - Robin van Persie - Gervinho - 
Queens Park Rangers,Bolton Wanderers,away,Paddy Kenny - Fitz Hall - Danny GabbidonOwn  - Clint Hill  - Shaun Derry - Adel Taarabt - Alejandro Faurlin - Kieron Dyer - Tommy Smith - Jay Bothroyd - DJ Campbell - ,Jussi Jääskeläinen - Grétar Steinsson - Paul Robinson - Gary Cahill  - Zat Knight - Fabrice Muamba - Chris Eagles - Martin Petrov - Nigel Reo-Coker - Kevin Davies - Ivan Klasnic - 
Wigan Athletic,Norwich City,tie,Ali Al Habsi - Gary Caldwell - Emmerson Boyce - Piscu - Maynor Figueroa - James McCarthy - Ben WatsonPen. Scored  - Victor Moses - Jordi Gómez - Mohamed Diamé - Franco Di Santo - ,John Ruddy - Russell Martin - Zak Whitbread - Marc Tierney - Ritchie de Laet - Andrew Crofts - Wes Hoolahan - David Fox - Andrew Surman - Grant Holt - Steve Morison - 
Stoke City,Chelsea,tie,Asmir Begovic - Robert Huth - Marc Wilson - Ryan Shawcross - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Rory Delap - Matthew Etherington - Kenwyne Jones - Jonathan Walters - ,Petr Cech - Ashley Cole - José Bosingwa - John Terry - Alex - Ramires - Frank Lampard - John Obi Mikel - Florent Malouda - Fernando Torres - Salomon Kalou - 
West Bromwich Albion,Manchester United,away,Ben Foster - Jonas Olsson - Nicky Shorey - Gabriel Tamas - Steven Reid Own  - Somen Tchoyi - James Morrison - Chris Brunt - Youssouf Mulumbu - Paul Scharner - Shane Long - ,David de Gea - Rio Ferdinand - Chris Smalling - Nemanja Vidic - Fabio - Anderson - Nani - Ashley Young - Tom Cleverley - Wayne Rooney - Danny Welbeck - 
Manchester City,Swansea City,home,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - Adam Johnson - Gareth Barry - David Silva - Nigel de Jong - Yaya Touré - Edin Dzeko - ,Michel Vorm - Steven Caulker - Alan Tate - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Kemy Agustien - Danny Graham - Scott Sinclair - Stephen Dobbie - 
Arsenal,Liverpool,away,Wojciech Szczesny - Bacary Sagna - Thomas Vermaelen - Laurent Koscielny - Carl Jenkinson - Aaron RamseyOwn  - Samir Nasri - Theo Walcott - Andrey Arshavin - Emmanuel Frimpong  - Robin van Persie - ,Pepe Reina - José Enrique - Daniel Agger - Jamie Carragher - Martin Kelly - Jordan Henderson - Dirk Kuyt - Stewart Downing - Lucas Leiva - Charlie Adam - Andy Carroll - 
