Season_number,Week,home_team,away_team,result,home_lineup,away_lineup
1990,1,Tottenham Hotspur,Liverpool,L,WayneRooney-StevenReid-DenisStracqualursi-KeirenWestwood-Yakubu-HarisVuckic-HeidarHelguson-StevenGerrard-BradleyJohnson-DarrenBent-DavidStockdale,ÁkosBuzsáky-RitchiedeLaet-DeanWhitehead-HugoRodallega-GarethBarry-StewartDowning-VincentKompany-Piscu-MauroFormica-SebastienBassong-KeithAndrews
1990,1,Wigan Athletic,Chelsea,W,RobbieKeane-BrettEmerton-PapissDembaCissé-MarkDavies-KevinDavies-JamieCarragher-GaëlClichy-DavideSanton-KerimFrei-AleksandarKolarov-TimCahill,CarlJenkinson-SebastiánCoates-EggertJónsson-PhilippeSenderos-StephenWarnockOwn-PeterCrouchOwn-LouisSaha-Gervinho-StephenIreland-YoussoufMulumbu-RadosavPetrovic
1990,1,Norwich City,Blackburn Rovers,L,BillyJones-TonyHibbertOwn-DavidSilva-MarcWilson-JohnTerry-CiaranClark-StefanSavic-MartinKelly-KoloTouré-ShaneLong-AndreaOrlandi,RaulMeireles-Sandro-StevenCaulker-DavidFox-MarkSchwarzer-ChrisHerd-JamieO'Hara-FábioAurélio-MichelVorm-Anderson-RyanGiggs
1990,1,Swansea City,Aston Villa,D,DannyRose-DembaBa-PetrCech-LiamRidgewell-FraizerCampbell-WayneBridge-ConorSammon-PaulRobinson-DavidLuiz-SergioAgüeroPen.Scored-MarcAlbrighton,JeanBeausejour-WojciechSzczesny-WayneRoutledge-AndrewCrofts-PepeReina-DidierDrogbaPen.Scored-RussellMartin-DarrenBentPen.Scored-SambaDiakité-GaryCahill-JermaineJenas
1990,1,Fulham,Stoke City,W,NikicaJelavic-CraigBellamy-AaronWilbraham-DavidJones-GabrielObertan-SebastianLarsson-SamHutchinson-FrancoDiSanto-CraigGardner-MichaelTurner-HeidarHelgusonPen.Scored,AlejandroFaurlin-JoséEnrique-TayeTaiwo-ScottDann-JamesMorrison-ChrisBaird-MortenGamstPedersen-MousaDembélé-MikelArteta-MaynorFigueroa-DicksonEtuhu
1990,1,Sunderland,Manchester City,L,ChicharitoPen.Scored-AaronRamseyOwn-FabricioColoccini-DavidDavis-NicolasAnelka-JoshMcEachran-JamesMilnerPen.Scored-GabrielAgbonlahor-CharlieAdamOwn-ShaneDuffy-LukeMoore,DirkKuyt-ElliottWard-StevenFletcher-JamesPerch-BenoitAssou-StephenDobbie-ZatKnight-RyanTaylor-VedranCorluka-NickyShorey-AaronHughes
1990,1,Everton,West Bromwich Albion,L,GaëlGivet-SylvainDistin-JakeLivermore-ChristopheBerra-PabloZabaleta-ChrisMartin-CheickTioté-ZakWhitbread-JoleonLescott-NikicaJelavicPen.Scored-RyanBertrand,TimHoward-JohnObiMikel-RubénRochina-JordiGómez-DannySimpson-SimonVukcevic-PaulScholes-MicahRichards-BobbyZamora-TomasRosicky-AndersLindegaard
1990,1,Queens Park Rangers,Newcastle United,D,NathanBaker-DannyGuthrie-AhmedElMohamady-SteveGohouri-GaryCaldwell-LeonBest-ThomasVermaelen-KarlHenry-JermaineBeckford-FernandoTorres-YayaTouré,RobertHuth-KevinDoyleOwn-EmileHeskey-RoryDelap-AsmirBegovic-JamesMcClean-BenWatsonPen.Scored-MartinPetrov-NigeldeJong-RichardStearman-PaddyKenny
1990,1,Arsenal,Wolverhampton Wanderers,W,FlorentMalouda-AsamoahGyan-SteveMorison-ThomasVermaelenOwn-JonásGutiérrez-NikoKranjcar-ShayGiven-FabianDelph-TuncaySanli-MarkBunn-DJCampbell,FrankLampardPen.Scored-Blake-AlexOxlade-KevinDoyle-MichaelCarrick-NeilTaylorOwn-ChrisEagles-SimonCox-GabrielTamas-DarrenFletcher-RioFerdinand
1990,1,Bolton Wanderers,Manchester United,W,MatthewEtherington-GarryMonk-TimReam-RossTurnbull-KyleNaughton-LaurentKoscielny-JohnArneRiise-SimonDavies-SholaAmeobi-ShaunMaloney-PeterCrouch,StevenReidOwn-BranislavIvanovic-DavidPizarro-DannyGraham-JonFlanagan-MichaelKightly-BryanRuiz-KieranGibbs-ZdenekGrygera-DannyMurphyPen.Scored-HenriqueHilário
